type,time
qs1,0.0040743350982666016
qs2,0.005239009857177734
qs3,0.0051958560943603516
qs4,0.005098819732666016
qs5,0.004899501800537109
merge1,0.005543708801269531
partition_sort,0.003182649612426758
qs1,0.0039730072021484375
qs2,0.0051310062408447266
qs3,0.005215883255004883
qs4,0.005295276641845703
qs5,0.0049016475677490234
merge1,0.0053141117095947266
partition_sort,0.003197193145751953
qs1,0.003907442092895508
qs2,0.0049970149993896484
qs3,0.0052106380462646484
qs4,0.005110979080200195
qs5,0.005084514617919922
merge1,0.0053212642669677734
partition_sort,0.003164529800415039
qs1,0.003948688507080078
qs2,0.005123138427734375
qs3,0.005253791809082031
qs4,0.004881858825683594
qs5,0.00769495964050293
merge1,0.005347013473510742
partition_sort,0.003143310546875
qs1,0.003882884979248047
qs2,0.005133628845214844
qs3,0.005106687545776367
qs4,0.004784107208251953
qs5,0.004952192306518555
merge1,0.005322694778442383
partition_sort,0.0031807422637939453
qs1,0.0038390159606933594
qs2,0.005173444747924805
qs3,0.00522160530090332
qs4,0.005108356475830078
qs5,0.004970550537109375
merge1,0.005313396453857422
partition_sort,0.0031769275665283203
qs1,0.003988504409790039
qs2,0.005178213119506836
qs3,0.005223989486694336
qs4,0.005552530288696289
qs5,0.005090475082397461
merge1,0.005350589752197266
partition_sort,0.0031380653381347656
qs1,0.003982067108154297
qs2,0.0054204463958740234
qs3,0.00510096549987793
qs4,0.004960060119628906
qs5,0.004957437515258789
merge1,0.0053555965423583984
partition_sort,0.003174304962158203
qs1,0.003929615020751953
qs2,0.005048990249633789
qs3,0.0052912235260009766
qs4,0.005112648010253906
qs5,0.004904508590698242
merge1,0.005351066589355469
partition_sort,0.003193378448486328
qs1,0.003901243209838867
qs2,0.0051457881927490234
qs3,0.0050661563873291016
qs4,0.004889249801635742
qs5,0.0050275325775146484
merge1,0.005341291427612305
partition_sort,0.003146648406982422
qs1,0.003801584243774414
qs2,0.005254983901977539
qs3,0.0051343441009521484
qs4,0.005291938781738281
qs5,0.005045175552368164
merge1,0.005345344543457031
partition_sort,0.0031731128692626953
qs1,0.003990650177001953
qs2,0.005403995513916016
qs3,0.005239963531494141
qs4,0.005318403244018555
qs5,0.00498509407043457
merge1,0.0053253173828125
partition_sort,0.0031244754791259766
qs1,0.0038688182830810547
qs2,0.005103349685668945
qs3,0.005177497863769531
qs4,0.005292415618896484
qs5,0.004857778549194336
merge1,0.005356788635253906
partition_sort,0.0031843185424804688
qs1,0.003905057907104492
qs2,0.005270242691040039
qs3,0.005038738250732422
qs4,0.005360126495361328
qs5,0.004915475845336914
merge1,0.0053637027740478516
partition_sort,0.0031824111938476562
qs1,0.004015445709228516
qs2,0.005201101303100586
qs3,0.0052416324615478516
qs4,0.00492548942565918
qs5,0.004896879196166992
merge1,0.005345582962036133
partition_sort,0.0031642913818359375
qs1,0.003912210464477539
qs2,0.00513911247253418
qs3,0.005203723907470703
qs4,0.005074501037597656
qs5,0.005067348480224609
merge1,0.005345821380615234
partition_sort,0.0031507015228271484
qs1,0.0038847923278808594
qs2,0.005193948745727539
qs3,0.005166292190551758
qs4,0.005110263824462891
qs5,0.005014896392822266
merge1,0.005324363708496094
partition_sort,0.0031876564025878906
qs1,0.003851175308227539
qs2,0.005135059356689453
qs3,0.0051479339599609375
qs4,0.0053288936614990234
qs5,0.0048902034759521484
merge1,0.005331754684448242
partition_sort,0.003159046173095703
qs1,0.003961324691772461
qs2,0.005033969879150391
qs3,0.005269765853881836
qs4,0.005133628845214844
qs5,0.005215644836425781
merge1,0.005343914031982422
partition_sort,0.003157377243041992
qs1,0.003957271575927734
qs2,0.004985332489013672
qs3,0.005243778228759766
qs4,0.005324125289916992
qs5,0.005140542984008789
merge1,0.005338907241821289
partition_sort,0.003165006637573242
qs1,0.0038530826568603516
qs2,0.005011081695556641
qs3,0.005191326141357422
qs4,0.005099058151245117
qs5,0.0049059391021728516
merge1,0.005373477935791016
partition_sort,0.003169536590576172
qs1,0.003937482833862305
qs2,0.005433559417724609
qs3,0.0052258968353271484
qs4,0.005388736724853516
qs5,0.005130767822265625
merge1,0.005358695983886719
partition_sort,0.0031800270080566406
qs1,0.003847837448120117
qs2,0.005147218704223633
qs3,0.0053751468658447266
qs4,0.005175113677978516
qs5,0.00495600700378418
merge1,0.0053958892822265625
partition_sort,0.0031502246856689453
qs1,0.003912210464477539
qs2,0.0052204132080078125
qs3,0.0050640106201171875
qs4,0.005101203918457031
qs5,0.005003690719604492
merge1,0.005377292633056641
partition_sort,0.0032036304473876953
qs1,0.003927469253540039
qs2,0.005120992660522461
qs3,0.0052111148834228516
qs4,0.005126953125
qs5,0.00503230094909668
merge1,0.0053424835205078125
partition_sort,0.003119230270385742
qs1,0.003914594650268555
qs2,0.005160808563232422
qs3,0.005055427551269531
qs4,0.004773139953613281
qs5,0.0050351619720458984
merge1,0.005352020263671875
partition_sort,0.0031998157501220703
qs1,0.003983974456787109
qs2,0.0052149295806884766
qs3,0.0051538944244384766
qs4,0.005167484283447266
qs5,0.004975318908691406
merge1,0.005326747894287109
partition_sort,0.003199338912963867
qs1,0.003960609436035156
qs2,0.005227088928222656
qs3,0.00522923469543457
qs4,0.0052947998046875
qs5,0.005124568939208984
merge1,0.005335092544555664
partition_sort,0.003170490264892578
qs1,0.003887653350830078
qs2,0.00527191162109375
qs3,0.005182027816772461
qs4,0.005075931549072266
qs5,0.005014657974243164
merge1,0.005412578582763672
partition_sort,0.00319671630859375
qs1,0.0039250850677490234
qs2,0.0053081512451171875
qs3,0.005207061767578125
qs4,0.005197286605834961
qs5,0.004993438720703125
merge1,0.005321502685546875
partition_sort,0.003200054168701172
qs1,0.003919839859008789
qs2,0.005203723907470703
qs3,0.005121469497680664
qs4,0.0048160552978515625
qs5,0.005049705505371094
merge1,0.0053827762603759766
partition_sort,0.0031948089599609375
qs1,0.003976583480834961
qs2,0.00511622428894043
qs3,0.005126476287841797
qs4,0.005316019058227539
qs5,0.00496673583984375
merge1,0.005388736724853516
partition_sort,0.003151416778564453
qs1,0.0038747787475585938
qs2,0.005283832550048828
qs3,0.005371570587158203
qs4,0.005311727523803711
qs5,0.00496363639831543
merge1,0.0053539276123046875
partition_sort,0.003179311752319336
qs1,0.0038590431213378906
qs2,0.005089759826660156
qs3,0.005240201950073242
qs4,0.005068778991699219
qs5,0.004795074462890625
merge1,0.005337953567504883
partition_sort,0.0031638145446777344
qs1,0.003909111022949219
qs2,0.005234479904174805
qs3,0.005265951156616211
qs4,0.004866838455200195
qs5,0.004938840866088867
merge1,0.005333662033081055
partition_sort,0.0031871795654296875
qs1,0.0038080215454101562
qs2,0.005015850067138672
qs3,0.005074977874755859
qs4,0.005097866058349609
qs5,0.00494694709777832
merge1,0.005385398864746094
partition_sort,0.003187894821166992
qs1,0.003949165344238281
qs2,0.005116701126098633
qs3,0.0055620670318603516
qs4,0.005108356475830078
qs5,0.004985332489013672
merge1,0.005310773849487305
partition_sort,0.003194093704223633
qs1,0.003838777542114258
qs2,0.0052471160888671875
qs3,0.005250215530395508
qs4,0.00516057014465332
qs5,0.005118370056152344
merge1,0.005391359329223633
partition_sort,0.0032227039337158203
qs1,0.003921031951904297
qs2,0.005194902420043945
qs3,0.005084991455078125
qs4,0.005407571792602539
qs5,0.0049021244049072266
merge1,0.0053403377532958984
partition_sort,0.0031888484954833984
qs1,0.003979206085205078
qs2,0.0055582523345947266
qs3,0.005328655242919922
qs4,0.005587339401245117
qs5,0.0052030086517333984
merge1,0.005457639694213867
partition_sort,0.003245115280151367
qs1,0.0039958953857421875
qs2,0.005380153656005859
qs3,0.005268096923828125
qs4,0.005089998245239258
qs5,0.004979848861694336
merge1,0.005499601364135742
partition_sort,0.0032079219818115234
qs1,0.004079580307006836
qs2,0.0052127838134765625
qs3,0.0054705142974853516
qs4,0.005162239074707031
qs5,0.00529932975769043
merge1,0.005574703216552734
partition_sort,0.003257274627685547
qs1,0.0040645599365234375
qs2,0.0053958892822265625
qs3,0.005352973937988281
qs4,0.005357027053833008
qs5,0.005136251449584961
merge1,0.005465507507324219
partition_sort,0.0032052993774414062
qs1,0.004024982452392578
qs2,0.005131244659423828
qs3,0.005529165267944336
